index,marca,fecha_alerta,fecha_vencimiento,mes,status,plazo_de_gestion,sucursal,canal,vendedor_rc,responsable_de_gestionar_alerta,cliente,vin,vehículo,satisfaccion_inicial,recomendacion_inicial,incidente_o_retorno_inicial,categoria,causas,puesto_involucrado,tiempo_de_respuesta_dias,estado,resp_alerta,tipo_de_alerta
13,Marca 2,2018-08-10,2018-08-13,Agosto,GESTIONADO,A TIEMPO,Sucursal 1,PV,7db59b81bbaa5d9bd3476b5373efaa53,7db59b81bbaa5d9bd3476b5373efaa53,4c46a41b20f2135e2b50ac6cd92d8a5d,bf67dab1cadf7adabd510e85a83ee419,687e1ced01294269075eb8436a26ae2f,9.0,10.0,NO,Varios,Reclamos al Taller: Error en el diagnóstico; Demoras en la Atención: Devolución del VH,Taller,0.9913140616450848,REVERTIDO,Responsable 1,OBSERVACION
14,Marca 2,2018-08-10,2018-08-13,Agosto,GESTIONADO,FUERA DE PLAZO,Sucursal 1,PV,5aa557351742d288a6ca939107e4597d,5aa557351742d288a6ca939107e4597d,f52c7d2a207e7fa28a677d04dd08bb76,96b9b27394aba829ada79bcf6115fdd4,2acbf4f59bb8563a46baea955c9b3405,10.0,10.0,NO,Disconformidad con el fabricante,Disconformidad con la marca,Asesor,0.9913368593835492,REVERTIDO,Responsable 3,OBSERVACION
15,Marca 2,2018-08-10,2018-08-13,Agosto,GESTIONADO,A TIEMPO,Sucursal 1,PV,b50a919c66342a99687e80bc4d4299f5,b50a919c66342a99687e80bc4d4299f5,474dbacece23a7023f7000e75405823f,aa184411e6bbd552b64913fa120aa208,301d20e12f231dea219e19e1d9da85ed,9.0,10.0,NO,Reclamos al taller,Trabajo parcial,Taller,0.9913140616450848,REVERTIDO,Responsable 3,OBSERVACION
16,Marca 2,2018-08-10,2018-08-13,Agosto,GESTIONADO,FUERA DE PLAZO,Sucursal 1,PV,21682ba91331decdbe91cd739e157aa8,21682ba91331decdbe91cd739e157aa8,2ecb6b220a9558fe721dca1d7eef855d,29aa75059a99b58463e4f2a69b747117,ebc43c0d41a986c5367829db99f80f66,9.0,9.0,NO,Reclamos al taller,Trabajo parcial,Taller,0.9913596571220136,REVERTIDO,Responsable 2,OBSERVACION
17,Marca 2,2018-08-10,2018-08-13,Agosto,GESTIONADO,FUERA DE PLAZO,Sucursal 1,PA,dd340304a7a7a39465c929dcf857e923,cffaa8b51ee4a0f80075692d980c6bc8,d8c3dd0577c641aab590abd3edc01863,004762fa8c8065d5b12a0d3fdb059dd9,a424e0689943a834b96da876d7331dd1,8.0,9.0,NO,Varios,Asesoramiento: Tasacion del usado; Condiciones de Atención del Personal: Trato inadecuado/Falta de respeto,Adjudicados,0.9913368593835492,REVERTIDO,Responsable 1,BAJA CALIFICACION
18,Marca 2,2018-08-10,2018-08-13,Agosto,GESTIONADO,FUERA DE PLAZO,Sucursal 1,PA,122a8edd79acc3317c88d3bbf8d91ffb,2f9a0b845c966612ade92ea89b1c8281,3b895a0b302d91294f0a824ec9df778b,3ec7ad37a5c4931e9c0a96beccbff304,3512056a5a829774fcca0e62441abb48,9.0,10.0,NO,Asesoramiento,"Incumplimiento de promesas, Omisión/error en la sucripcion o en la venta, Financiación",Adjudicados,0.9913368593835492,REVERTIDO,Responsable 1,OBSERVACION
19,Marca 2,2018-08-10,2018-08-13,Agosto,GESTIONADO,FUERA DE PLAZO,Sucursal 1,VN,0408978f35558bd4bf33df8e1161b353,7655a57b299a2023ed7e72e2345e3b14,4761747aaf3d26b5977e2d0e178581f1,baeb9f5e85f1eeab58971cf82b98ae56,286038ceed3b16b051c1ef8f7c265e7c,9.0,10.0,NO,Asesoramiento,Plazos de entrega,Entrega Administrativa,0.9913596571220136,REVERTIDO,Responsable 1,OBSERVACION
20,Marca 2,2018-08-10,2018-08-13,Agosto,GESTIONADO,A TIEMPO,Sucursal 1,PA,c4bb55a603ecd579667ef5dce00f9bac,e396d32cf3489569ab4cf995b7cb3ea6,4e980c68fa8102fdd7140fef20c02dca,130002f1e11acc1143164bf46e05bc6f,1984823a6ad620eb2eafcaed37490b66,2.0,2.0,NO,Varios,"Asesoramiento : Incumplimeinto de promesas , Plazos de entrega",Ventas,0.9913140616450848,NO REVERTIDO,Responsable 3,BAJA CALIFICACION
21,Marca 2,2018-08-10,2018-08-13,Agosto,GESTIONADO,A TIEMPO,Sucursal 1,PA,18f4d4bef91d8a037d2e3536a74bd122,5b45089dccf71a84f1fc01b1ec9e89c0,27a8055578887d3a101f6874b52f3cbb,cc168c4caec43978b33dd82fb14e9d0c,a424e0689943a834b96da876d7331dd1,9.0,10.0,NO,Asesoramiento,Plazos de entrega,Adjudicados,0.9913140616450848,REVERTIDO,Responsable 3,OBSERVACION
22,Marca 2,2018-08-10,2018-08-13,Agosto,GESTIONADO,A TIEMPO,Sucursal 1,PA,18f4d4bef91d8a037d2e3536a74bd122,5b45089dccf71a84f1fc01b1ec9e89c0,92f7d796939f9df9733ab1a52dca9204,da7fac16ebdee2db1673b1654a1299d2,83b92c59ff7a326c036e0bd6e0b51fb0,10.0,9.0,NO,Asesoramiento,Plazos de entrega,Adjudicados,0.9913140616450848,REVERTIDO,Responsable 3,OBSERVACION
23,Marca 2,2018-08-10,2018-08-13,Agosto,SIN GESTION,Sin Tratamiento,Sucursal 1,VN,650a93dbeec354589c0dc5aecd57e5a8,524056b5a2b4dbc95584683b6550ae01,998a30051c12626b697f95bbb461e8b0,b4762324fd59f18213f9597f6bc5dcf0,17a6e24a3e19ef4f96804797a0250904,10.0,10.0,NO,Asesoramiento,Experiencia previa en Posventa,Entrega Fisica,0.003602042677366413,SIN RESPUESTA,Responsable 3,OBSERVACION
25,Marca 4,2018-08-10,2018-08-13,Agosto,GESTIONADO,A TIEMPO,Sucursal 1,VN,1133b78fa6d5c920220f595e5cc9b4a1,9185c560961f7856f83288ffa561a7fd,290f39d38fb154ce434292973946f42a,bdaa2d041e08b7bdf7b4302049fa6f9c,d2c9ede22b6d40c65e9c31879470b3fb,9.0,9.0,NO,Varios,"Accesorios: Faltante, Mal instalado; Problemas de Gestoría: Faltante / error en documentación",Ventas,0.9913140616450848,REVERTIDO,Responsable 2,OBSERVACION
26,Marca 4,2018-08-10,2018-08-13,Agosto,GESTIONADO,A TIEMPO,Sucursal 1,VN,61f854704d973425d466466bbafb8537,a25675d8e5ffe874d55f9f8c16ee3c2c,9097293c18defc8055bcc39a546d5d63,ae63b6d818720abdb4c661aec1f3e108,75526d305d93b205c62e5921dfa51761,9.0,10.0,NO,Varios,Elemento de Entrega Diferenciada: Obsequios en la entrega; Vehículo Entregado en Malas Condiciones: Fallas en el funcionamiento mecanico/ carroceria; Problemas de Gestoría: Faltante / error en documentación; Asesoramiento: Incumplimiento de promesas,Entrega Fisica,0.9913140616450848,REVERTIDO,Responsable 2,OBSERVACION
27,Marca 4,2018-08-10,2018-08-13,Agosto,GESTIONADO,A TIEMPO,Sucursal 1,VN,41c6eb91942aea2c4f693bb1d1626c25,a25675d8e5ffe874d55f9f8c16ee3c2c,9d4d8d4d10b9728889d1902ff70ae82d,6171b0ed78904123993f8e1121c7a61a,75526d305d93b205c62e5921dfa51761,9.0,10.0,NO,Vehículo entregado en malas condiciones,Pieza defectuosa,Entrega Fisica,0.9913140616450848,CERRADO POR GERENCIA,Responsable 2,OBSERVACION
28,Marca 4,2018-08-10,2018-08-13,Agosto,GESTIONADO,FUERA DE PLAZO,Sucursal 1,PV,c2006c5ab28a559b148d6cf4d6a0d1dd,4821ee780842e7aa34d8ef61ac6d3408,cb86ebd8c196ddb9ecfd84261e8680e2,50ef3e4214d4f6dd005f8d2eedff98ba,c2d72aa2fa2bb1303509cfd181fe2f6c,10.0,10.0,NO,Disconformidad con el fabricante,Disponibiblidad de repuestos,Repuestos,0.9914052525989422,REVERTIDO,Responsable 3,OBSERVACION
29,Marca 4,2018-08-10,2018-08-13,Agosto,GESTIONADO,FUERA DE PLAZO,Sucursal 1,VN,41c6eb91942aea2c4f693bb1d1626c25,c15995491fcfe52403c722ab0d87f7ef,37b8b3dc58cf262dd304458e0f04c60d,69c6bb4271bdd9e8af768e7d407555d7,c4409f1f20cb89899e128eecca799b3f,10.0,10.0,NO,Problemas de gestoría,Faltante / error en documentación,Gestoria,0.9916560277220501,REVERTIDO,Responsable 1,OBSERVACION
30,Marca 4,2018-08-10,2018-08-13,Agosto,GESTIONADO,FUERA DE PLAZO,Sucursal 1,PV,fcf0a5545502f79c36e5ff43129890b3,6cc3f8a62d78e4e83a3b2e5c6f154cc7,3d13e0a1a996dbf3541c910499acef6c,076948055ec706127d071d2d8fdc5795,dafa4042195355a871b0cea63d5d2331,10.0,10.0,NO,Disconformidad con el fabricante,Disconformidad con la marca,Asesor,0.9913824548604778,REVERTIDO,Responsable 2,OBSERVACION
31,Marca 4,2018-08-10,2018-08-13,Agosto,GESTIONADO,FUERA DE PLAZO,Sucursal 1,VN,25aebae4c8d5b2c72277e55791868691,c15995491fcfe52403c722ab0d87f7ef,4dc3309d52c79eec7590e0e508cf2078,1b667b45e3fe3f610feace2e83d52300,b4a98d94ec13c78b9f28d08a292b90eb,9.0,10.0,NO,Varios,Comunicación : Falta de comunicación ante novedades ; Problemas de Gestoría : Faltante / error en documentación ; Asesoramiento : Seguro,Gestoria,0.9916332299835856,CERRADO POR GERENCIA,Responsable 3,OBSERVACION
32,Marca 4,2018-08-10,2018-08-13,Agosto,GESTIONADO,A TIEMPO,Sucursal 1,VN,41c6eb91942aea2c4f693bb1d1626c25,4e2ffa0ba0399abfbcbf66edfef94fd6,f08389bc180209d574a334aa181a286a,a0abfb95360177ee25e0bb9546482a78,ad0d603b7e2c0f5c797f27ace3daaaca,10.0,10.0,NO,Varios,Condiciones de atención del personal : Ofrecimiento de infusión/agua,Ventas,0.9913140616450848,REVERTIDO,Responsable 3,OBSERVACION
34,Marca 1,2018-08-10,2018-08-14,Agosto,SIN GESTION,Sin Tratamiento,Sucursal 1,PV,246e89c6fcd93a60463be9821f1d0d5d,246e89c6fcd93a60463be9821f1d0d5d,6cf09eae0dfc1f574ff879bae13b2678,3e0516604c4d7ea77e63df4359902fa5,afee97063896539480a5565756d32aee,8.0,9.0,NO,Lavado,Vehículo no lavado / aspirado,Lavadero,0.9902580248039394,SIN RESPUESTA,Responsable 1,BAJA CALIFICACION
35,Marca 1,2018-08-10,2018-08-14,Agosto,SIN GESTION,Sin Tratamiento,Sucursal 1,PV,3fdcf47c29f7993066bc6cc69e1447d9,5ddb224ccc347d0bd21137b0bf52130e,24262d33a8cccb751ce3c56cbb542752,0f4f256f29f36f534bc64c5f1e8407cb,8bcbb2d76706e5e5a5d93b6a982a8574,8.0,10.0,NO,Expectativas altas del cliente,Nota 7 y 8 sin comentario negativo,Asesor,0.9902580248039394,SIN RESPUESTA,Responsable 1,BAJA CALIFICACION
36,Marca 1,2018-08-10,2018-08-14,Agosto,SIN GESTION,Sin Tratamiento,Sucursal 1,PV,aa582b03e5a21ff9bdfe6b108d0f8dc4,aa582b03e5a21ff9bdfe6b108d0f8dc4,54ab1221192ee2a9d6651813b3f3e89b,28c9bc7e676ff48ffde79a32ef20dd63,f33be1f14dc5f54c5721fda022c1e966,9.0,8.0,NO,Varios,"Comunicación : Falta de comunicación ante novedades ; Disconformidad con el fabricante : Disponibilidad de repuestos , Políticas de precios",Asesor,0.9902580248039394,SIN RESPUESTA,Responsable 3,BAJA CALIFICACION
37,Marca 1,2018-08-10,2018-08-14,Agosto,SIN GESTION,Sin Tratamiento,Sucursal 1,PV,aa582b03e5a21ff9bdfe6b108d0f8dc4,aa582b03e5a21ff9bdfe6b108d0f8dc4,a186e7973a2a99a83a7064341cdad089,79ee92081f8747001556c367d3f77187,7625f3a04ac810ceef2083a6b65d64e5,7.0,9.0,NO,Varios,Asesoramiento : Agendamiento del Turno ; Disconformidad con el fabricante : Disponibilidad de repuestos ; Comunicación : Falta de comunicación ante novedades ; Lavado : Vehículo no lavado / aspirado ; Reclamos al taller : Cuidado del vehículo en su estancia en el taller,Taller,0.9902580248039394,SIN RESPUESTA,Responsable 3,BAJA CALIFICACION
38,Marca 1,2018-08-10,2018-08-14,Agosto,SIN GESTION,Sin Tratamiento,Sucursal 1,PV,61a423da4122794df98c8362238f9a78,61a423da4122794df98c8362238f9a78,ce5463d843ab6e13d0785250ac3b6bc5,3ae3611db9df1e4b3bd10b5d348614bf,8bcbb2d76706e5e5a5d93b6a982a8574,8.0,10.0,NO,Varios,Demoras en la Atención: Recepción del auto; Reclamos al Taller: Trabajo parcial,Asesor,0.9902580248039394,SIN RESPUESTA,Responsable 2,BAJA CALIFICACION
39,Marca 1,2018-08-10,2018-08-14,Agosto,SIN GESTION,Sin Tratamiento,Sucursal 1,PV,246e89c6fcd93a60463be9821f1d0d5d,246e89c6fcd93a60463be9821f1d0d5d,4b70070254149618cb2a9b7625fe1906,87b4c1fa4fb81cb98a7edb532c40efd6,39d7b05cd7a8cacdf1d505f2f33d6255,8.0,9.0,NO,Asesoramiento,En la recepción del taller,Asesor,0.9902580248039394,SIN RESPUESTA,Responsable 2,BAJA CALIFICACION
40,Marca 1,2018-08-10,2018-08-14,Agosto,SIN GESTION,Sin Tratamiento,Sucursal 1,PV,246e89c6fcd93a60463be9821f1d0d5d,246e89c6fcd93a60463be9821f1d0d5d,a03577c91158a5dbe23adb6cfa35e5ab,84625cda00f5d49a65fe8bd59274f50d,93ae83899af768334d82e1601748211f,8.0,7.0,SI,Reclamos al taller,Trabajo parcial,Taller,0.9902580248039394,SIN RESPUESTA,Responsable 2,BAJA CALIFICACION Y RETORNO
41,Marca 1,2018-08-10,2018-08-13,Agosto,SIN GESTION,Sin Tratamiento,Sucursal 1,PV,3fdcf47c29f7993066bc6cc69e1447d9,5ddb224ccc347d0bd21137b0bf52130e,8b62d73f2553a7a79ab9dab7aaea7ef9,f268f445b0927812c956f21f282f10d3,8bcbb2d76706e5e5a5d93b6a982a8574,9.0,10.0,NO,Demoras en la atención,"Recepción del auto, Devolución del VH",Asesor,0.9902580248039394,SIN RESPUESTA,Responsable 1,OBSERVACION
42,Marca 1,2018-08-10,2018-08-13,Agosto,SIN GESTION,Sin Tratamiento,Sucursal 1,PV,aa582b03e5a21ff9bdfe6b108d0f8dc4,aa582b03e5a21ff9bdfe6b108d0f8dc4,d18fbd7bcd6a50490cd9b9cc633f099c,4d86b1e6a6184ca8fd72856d914fc630,8bcbb2d76706e5e5a5d93b6a982a8574,9.0,9.0,NO,Asesoramiento,"Nuevo problema, En la recepción del taller",Asesor,0.9902580248039394,SIN RESPUESTA,Responsable 1,OBSERVACION
43,Marca 1,2018-08-10,2018-08-13,Agosto,SIN GESTION,Sin Tratamiento,Sucursal 1,PV,aa582b03e5a21ff9bdfe6b108d0f8dc4,aa582b03e5a21ff9bdfe6b108d0f8dc4,9857cac0c5d849f97a846105a78856e7,b5f9ba7f8cb3f704d5e40a3c9535d4ec,8bcbb2d76706e5e5a5d93b6a982a8574,10.0,10.0,NO,Varios,Disconformidad con el Fabricante: Disponibilidad de repuestos; Lavado: Vehículo no lavado / aspirado,Repuestos,0.9902580248039394,SIN RESPUESTA,Responsable 1,OBSERVACION
44,Marca 1,2018-08-10,2018-08-13,Agosto,SIN GESTION,Sin Tratamiento,Sucursal 1,PV,246e89c6fcd93a60463be9821f1d0d5d,246e89c6fcd93a60463be9821f1d0d5d,9c392d5813af48bfa61ec004cfa247b5,49ab2985be4793e01cb09cdaead20b6b,8bcbb2d76706e5e5a5d93b6a982a8574,9.0,10.0,NO,Reclamos al Taller,Trabajo parcial,Taller,0.9902580248039394,SIN RESPUESTA,Responsable 1,OBSERVACION
45,Marca 1,2018-08-10,2018-08-13,Agosto,SIN GESTION,Sin Tratamiento,Sucursal 1,PV,aa582b03e5a21ff9bdfe6b108d0f8dc4,aa582b03e5a21ff9bdfe6b108d0f8dc4,800fc4413629b4bd1e13e5fb055f9eaa,3257705d987b78c81681d3e11c5196bb,8bcbb2d76706e5e5a5d93b6a982a8574,10.0,10.0,NO,Lavado,Vehículo no lavado / aspirado,Lavadero,0.9902580248039394,SIN RESPUESTA,Responsable 3,OBSERVACION
46,Marca 1,2018-08-10,2018-08-13,Agosto,SIN GESTION,Sin Tratamiento,Sucursal 1,PV,aa582b03e5a21ff9bdfe6b108d0f8dc4,aa582b03e5a21ff9bdfe6b108d0f8dc4,7090ca4f544966895e2f6e4644082537,2e00ec0843b43ee7466d68a909852063,1d486cd60251e4a5318465fb00f11fb7,10.0,10.0,NO,Reclamos al taller,Trabajo parcial,Taller,0.9902580248039394,SIN RESPUESTA,Responsable 3,OBSERVACION
47,Marca 1,2018-08-10,2018-08-13,Agosto,SIN GESTION,Sin Tratamiento,Sucursal 1,PV,3fdcf47c29f7993066bc6cc69e1447d9,5ddb224ccc347d0bd21137b0bf52130e,6242af0320a57c230c022fb431a8f477,b3e92853e844c4cef6442c850d218f62,afee97063896539480a5565756d32aee,10.0,10.0,NO,Reclamos al taller,Trabajo parcial,Taller,0.9902580248039394,SIN RESPUESTA,Responsable 3,OBSERVACION
48,Marca 1,2018-08-10,2018-08-13,Agosto,SIN GESTION,Sin Tratamiento,Sucursal 1,PV,3fdcf47c29f7993066bc6cc69e1447d9,5ddb224ccc347d0bd21137b0bf52130e,40bbb24fced1124d0dfc91c33b50e926,294885f379db73becfb3c7ff1a6f5e17,8bcbb2d76706e5e5a5d93b6a982a8574,9.0,9.0,NO,Disconformidad con el fabricante,Políticas de precios,Asesor,0.9902580248039394,SIN RESPUESTA,Responsable 2,OBSERVACION
49,Marca 1,2018-08-10,2018-08-13,Agosto,SIN GESTION,Sin Tratamiento,Sucursal 1,PV,3fdcf47c29f7993066bc6cc69e1447d9,5ddb224ccc347d0bd21137b0bf52130e,b2460700ea460519979c35c35a2802cc,e617dd865b84b08fbb81811da78304a1,39d7b05cd7a8cacdf1d505f2f33d6255,10.0,10.0,NO,Varios,Comunicación: Falta de comunicación ante novedades; Disconformidad con el Fabricante: Políticas de precios,Asesor,0.9902580248039394,SIN RESPUESTA,Responsable 2,OBSERVACION
50,Marca 1,2018-08-10,2018-08-13,Agosto,SIN GESTION,Sin Tratamiento,Sucursal 1,PV,aa582b03e5a21ff9bdfe6b108d0f8dc4,aa582b03e5a21ff9bdfe6b108d0f8dc4,ec7241a17cd4b740fc50be380ad80347,87964afa39e6a7217b0c1a43bf02d904,f33be1f14dc5f54c5721fda022c1e966,10.0,10.0,NO,Lavado,Vehículo no lavado / aspirado,Lavadero,0.9902580248039394,SIN RESPUESTA,Responsable 2,OBSERVACION
51,Marca 1,2018-08-10,2018-08-13,Agosto,SIN GESTION,Sin Tratamiento,Sucursal 1,PV,3fdcf47c29f7993066bc6cc69e1447d9,69b6f915d2372bdcd6e206866afacdd7,9cf9ae21b8a094e5f106bd0e144599c0,941e46bd1af3582ba7b5ce6f88b407ff,8bcbb2d76706e5e5a5d93b6a982a8574,10.0,10.0,NO,Turnos,Falta de opción de autogestión de turnos,Turnos,0.9902580248039394,SIN RESPUESTA,Responsable 2,OBSERVACION
52,Marca 2,2018-08-10,2018-08-14,Agosto,GESTIONADO,A TIEMPO,Sucursal 2,PV,23f72dbd944a5eb87ec78e5155714206,23f72dbd944a5eb87ec78e5155714206,b8f237c9e697288f8a9755ba1738d2b4,03ebb11f752279cae2e2ae1b0233988e,687e1ced01294269075eb8436a26ae2f,-1.0,1.0,NO,Reclamos al Taller,Trabajo parcial,Taller,0.9913140616450848,NO REVERTIDO,Responsable 1,BAJA CALIFICACION
54,Marca 2,2018-08-10,2018-08-14,Agosto,GESTIONADO,A TIEMPO,Sucursal 2,PV,23f72dbd944a5eb87ec78e5155714206,23f72dbd944a5eb87ec78e5155714206,07f089740140777e4e00411d945f2a70,3dcbe379d972f4bf0be177eec93ab9e5,307,7.0,8.0,NO,Varios,"Asesoramiento: Disconformidad con experiencias pasadas; Reclamos al Taller: Trabajo parcial, Incidentes/detalles generados en el vehículo en su estancia en el taller",Taller,0.9913140616450848,NO REVERTIDO,Responsable 2,BAJA CALIFICACION
55,Marca 2,2018-08-10,2018-08-13,Agosto,GESTIONADO,A TIEMPO,Sucursal 2,PV,98121103244efaa75ab3c23947aae1b6,455f6e1e1d958cc4c582df866ad6051c,8e501579deb7c36c85d432c739329479,663a824db85525ac37a53d34352657ba,65b4c46a12016ac52b5c22608d39bea0,10.0,9.0,NO,Asesoramiento,Otros,Adjudicados,0.9912456684296918,REVERTIDO,Responsable 3,OBSERVACION
56,Marca 2,2018-08-10,2018-08-13,Agosto,SIN GESTION,Sin Tratamiento,Sucursal 2,PV,23f72dbd944a5eb87ec78e5155714206,23f72dbd944a5eb87ec78e5155714206,6adea7f7f673c4d42df76a94c8acf4a4,e2ab7058a55c3cfe32bf4f616bc10f25,a53bb7fabbb27b3415dd0b4240d6469f,9.0,9.0,NO,Varios,Lavado: Vehículo mal lavado; Reclamos al Taller: Incidentes/detalles generados en el vehículo en su estancia en el taller; Instalaciones: Equipamiento de taller,Lavadero,0.9913824548604778,SIN RESPUESTA,Responsable 2,OBSERVACION
57,Marca 2,2018-08-10,2018-08-13,Agosto,GESTIONADO,A TIEMPO,Sucursal 2,PV,98121103244efaa75ab3c23947aae1b6,98121103244efaa75ab3c23947aae1b6,65df7364a740f6ee6ce3564f8b14d4ec,33dd4aac485ffdb32d35f9aed86fab7d,3d85c93947db1628e87dac4dac75fd15,9.0,9.0,NO,Lavado,Vehículo mal lavado,Lavadero,0.9913140616450848,REVERTIDO,Responsable 2,OBSERVACION
58,Marca 2,2018-08-10,2018-08-13,Agosto,GESTIONADO,A TIEMPO,Sucursal 2,PA,94649e053a2416e5ce9c3b2b321cda6e,455f6e1e1d958cc4c582df866ad6051c,dce73292b83c2520ddef801ab8842acd,7341f99a2d7a3dfa85417400e99aefec,04bdaf0fa1890889cee04ae76565739a,9.0,10.0,NO,Asesoramiento,Plazos de entrega,Entrega Administrativa,0.9913140616450848,REVERTIDO,Responsable 1,OBSERVACION
59,Marca 2,2018-08-10,2018-08-13,Agosto,GESTIONADO,A TIEMPO,Sucursal 2,PA,94649e053a2416e5ce9c3b2b321cda6e,455f6e1e1d958cc4c582df866ad6051c,a17168f911d2f064f1d2887d80a1c042,5fbfe5eea4887c5a76bc92b3f062c978,286038ceed3b16b051c1ef8f7c265e7c,10.0,10.0,NO,Asesoramiento,Facturación,Adjudicados,0.9913140616450848,REVERTIDO,Responsable 1,OBSERVACION
